event,sex,rank,time_s,wind,name,country,birthdate,place,location,date,age
100m,male,20,9.77,-0.3,Usain Bolt,JAM,1986-08-21,1,Moskva,2013-08-11,9852
100m,male,20,9.77,0.6,Justin Gatlin,USA,1982-02-10,1,Bruxelles,2014-09-05,11895
100m,male,20,9.77,0.9,Justin Gatlin,USA,1982-02-10,1s2,Beijing,2015-08-23,12247
100m,male,30,9.78,0,Asafa Powell,JAM,1982-11-23,1,Rieti,2007-09-09,9056
100m,male,30,9.78,-0.4,Tyson Gay,USA,1982-08-09,1,London,2010-08-13,10231
100m,male,30,9.78,0.9,Nesta Carter,JAM,1985-11-10,1,Rieti,2010-08-29,9058
100m,male,30,9.78,1,Asafa Powell,JAM,1982-11-23,1rA,Lausanne,2011-06-30,10446
100m,male,30,9.78,-0.3,Justin Gatlin,USA,1982-02-10,1,Monaco,2015-07-17,12210
100m,male,35,9.79,0.1,Maurice Greene,USA,1974-07-23,1r3,Athínai,1999-06-16,9094
100m,male,35,9.79,-0.2,Usain Bolt,JAM,1986-08-21,1,Saint-Denis,2009-07-17,8366
100m,male,35,9.79,0.1,Tyson Gay,USA,1982-08-09,1,Bruxelles,2010-08-27,10245
100m,male,35,9.79,1.1,Tyson Gay,USA,1982-08-09,1h1,Clermont,2011-06-04,10526
100m,male,35,9.79,0.6,Usain Bolt,JAM,1986-08-21,1,Oslo,2012-06-07,9422
100m,male,35,9.79,1.5,Justin Gatlin,USA,1982-02-10,3,London,2012-08-05,11134
100m,male,35,9.79,-0.5,Usain Bolt,JAM,1986-08-21,1,Beijing,2015-08-23,10594
100m,male,35,9.79,-0.3,Christian Coleman,USA,1996-03-06,1,Bruxelles,2018-08-31,8213
100m,male,43,9.8,0.2,Maurice Greene,USA,1974-07-23,1,Sevilla,1999-08-22,9161
100m,male,43,9.8,1.3,Steve Mullings,JAM,1982-11-29,1,Eugene,2011-06-04,10414
100m,male,43,9.8,1.8,Justin Gatlin,USA,1982-02-10,1,Eugene,2012-06-24,11092
100m,male,43,9.8,0.6,Usain Bolt,JAM,1986-08-21,1,Bruxelles,2013-09-06,9878
100m,male,43,9.8,0.1,Justin Gatlin,USA,1982-02-10,1rA,Lausanne,2014-07-03,11831
100m,male,43,9.8,-0.5,Justin Gatlin,USA,1982-02-10,2,Beijing,2015-08-23,12247
100m,male,43,9.8,1.6,Justin Gatlin,USA,1982-02-10,1,Eugene,2016-07-03,12562
100m,male,50,9.81,0,Usain Bolt,JAM,1986-08-21,1rA,Zürich,2009-08-28,8408
100m,male,50,9.81,1.3,Asafa Powell,JAM,1982-11-23,1,Saint-Denis,2015-07-04,11911
100m,male,50,9.81,0.2,Usain Bolt,JAM,1986-08-21,1,Rio de Janeiro,2016-08-14,10951
100m,male,50,9.81,-0.1,Christian Coleman,USA,1996-03-06,1,Palo Alto,2019-06-30,8516
100m,male,54,9.82,-0.2,Maurice Greene,USA,1974-07-23,1,Edmonton,2001-08-05,9875
100m,male,54,9.82,0,Asafa Powell,JAM,1982-11-23,1rA,Monaco,2008-07-29,9380
100m,male,54,9.82,1.4,Asafa Powell,JAM,1982-11-23,1,Rieti,2008-09-07,9420
100m,male,54,9.82,1.4,Asafa Powell,JAM,1982-11-23,1,Szczecin,2009-09-15,9793
100m,male,54,9.82,0.6,Asafa Powell,JAM,1982-11-23,1,Roma,2010-06-10,10061
100m,male,54,9.82,0.5,Usain Bolt,JAM,1986-08-21,1rA,Lausanne,2010-07-08,8722
100m,male,54,9.82,0,Yohan Blake,JAM,1989-12-26,1r3,Zürich,2011-09-08,7926
100m,male,54,9.82,0.1,Yohan Blake,JAM,1989-12-26,1,Berlin,2011-09-11,7929
100m,male,54,9.82,1.8,Usain Bolt,JAM,1986-08-21,1rA,Kingston,2012-05-05,9389
100m,male,54,9.82,0.7,Justin Gatlin,USA,1982-02-10,1s1,London,2012-08-05,11134
100m,male,54,9.82,1.7,Richard Thompson,TTO,1985-06-07,1r A,Port of Spain,2014-06-21,10606
100m,male,54,9.82,-0.1,Justin Gatlin,USA,1982-02-10,1rA,Linz,2014-07-14,11842
100m,male,54,9.82,1.3,Christian Coleman,USA,1996-03-06,1h1,Eugene,2017-06-07,7763
100m,male,67,9.83,-0.3,Asafa Powell,JAM,1982-11-23,1,Stuttgart,2007-09-22,9069
100m,male,67,9.83,-0.5,Usain Bolt,JAM,1986-08-21,1rA,Zürich,2008-08-29,8044
100m,male,67,9.83,-1.3,Asafa Powell,JAM,1982-11-23,2,Bruxelles,2008-09-05,9418
100m,male,67,9.83,-0.5,Asafa Powell,JAM,1982-11-23,1,Ostrava,2010-05-27,10047
100m,male,67,9.83,0.7,Justin Gatlin,USA,1982-02-10,1r2,Rieti,2014-09-07,11897
100m,male,67,9.83,1.7,Justin Gatlin,USA,1982-02-10,1s1,Eugene,2016-07-03,12562
100m,male,73,9.84,0.7,Donovan Bailey,CAN,1967-12-16,1,Atlanta,1996-07-27,10451
100m,male,73,9.84,0.2,Bruny Surin,CAN,1967-07-12,2,Sevilla,1999-08-22,11729
100m,male,73,9.84,1.8,Asafa Powell,JAM,1982-11-23,1,Kingston,2005-05-07,8201
100m,male,73,9.84,1,Tyson Gay,USA,1982-08-09,2rA,Zürich,2006-08-18,8775
100m,male,73,9.84,-0.5,Tyson Gay,USA,1982-08-09,1,Indianapolis,2007-06-22,9083
100m,male,73,9.84,-0.3,Asafa Powell,JAM,1982-11-23,1,Bruxelles,2007-09-14,9061
100m,male,73,9.84,0.9,Asafa Powell,JAM,1982-11-23,3,Berlin,2009-08-16,9763
100m,male,73,9.84,-0.3,Usain Bolt,JAM,1986-08-21,1,Saint-Denis,2010-07-16,8730
100m,male,73,9.84,0,Tyson Gay,USA,1982-08-09,1,Stockholm,2010-08-06,10224
100m,male,73,9.84,0.5,Yohan Blake,JAM,1989-12-26,1,Georgetown,2012-05-09,8170
100m,male,73,9.84,1.8,Asafa Powell,JAM,1982-11-23,1rA,Kingston,2015-05-09,11855
100m,male,73,9.84,1.3,Trayvon Bromell,USA,1995-07-10,1h4,Eugene,2015-06-25,7290
100m,male,73,9.84,0.9,Asafa Powell,JAM,1982-11-23,1,Kingston,2015-06-26,11903
100m,male,73,9.84,1.6,Trayvon Bromell,USA,1995-07-10,2,Eugene,2016-07-03,7664
100m,male,87,9.85,1.2,Leroy Burrell,USA,1967-02-21,1r3,Lausanne,1994-07-06,9997
100m,male,87,9.85,0.8,Maurice Greene,USA,1974-07-23,1,Roma,1999-07-07,9115
100m,male,87,9.85,0.6,Justin Gatlin,USA,1982-02-10,1,Athínai,2004-08-22,8229
100m,male,87,9.85,0.6,Asafa Powell,JAM,1982-11-23,1r2,Ostrava,2005-06-09,8234
100m,male,87,9.85,1.7,Adekotunbo Olusoji Fasuba,NGR,1984-07-09,1,Ad-Dawhah,2006-05-12,7977
100m,male,87,9.85,0.1,Asafa Powell,JAM,1982-11-23,1rA,Saint-Denis,2006-07-08,8628
100m,male,87,9.85,0.5,Asafa Powell,JAM,1982-11-23,1rA,Roma,2006-07-14,8634
100m,male,87,9.85,-0.5,Tyson Gay,USA,1982-08-09,1,Osaka,2007-08-26,9148
100m,male,87,9.85,1.7,Tyson Gay,USA,1982-08-09,2rA,New York City,2008-05-31,9427
100m,male,87,9.85,-0.1,Usain Bolt,JAM,1986-08-21,1,Kingston,2008-06-28,7982
100m,male,87,9.85,-0.1,Usain Bolt,JAM,1986-08-21,1s1,Beijing,2008-08-16,8031
100m,male,87,9.85,2,Asafa Powell,JAM,1982-11-23,2,Shanghai,2009-09-20,9798
100m,male,87,9.85,0.1,Nesta Carter,JAM,1985-11-10,2,Bruxelles,2010-08-27,9056
100m,male,87,9.85,1.3,Mike Rodgers,USA,1985-04-24,2,Eugene,2011-06-04,9537
100m,male,87,9.85,1,Richard Thompson,TTO,1985-06-07,1,Port of Spain,2011-08-13,9563
100m,male,87,9.85,0.1,Usain Bolt,JAM,1986-08-21,1rA,Zagreb,2011-09-13,9154
100m,male,87,9.85,0.6,Asafa Powell,JAM,1982-11-23,2,Oslo,2012-06-07,10789
100m,male,87,9.85,1.6,Yohan Blake,JAM,1989-12-26,1rA,Luzern,2012-07-17,8239
100m,male,87,9.85,1.7,Yohan Blake,JAM,1989-12-26,1s3,London,2012-08-05,8258
100m,male,87,9.85,0.2,Usain Bolt,JAM,1986-08-21,1rA,London,2013-07-26,9836
100m,male,87,9.85,-0.3,Justin Gatlin,USA,1982-02-10,2,Moskva,2013-08-11,11505
100m,male,87,9.85,0.9,Christian Coleman,USA,1996-03-06,1,Oslo,2019-06-13,8499
100m,male,109,9.86,1.2,Carl Lewis,USA,1961-07-01,1,Tokyo,1991-08-25,11012
100m,male,109,9.86,-0.4,Frank Fredericks,NAM,1967-10-02,1r1,Lausanne,1996-07-03,10502
100m,male,109,9.86,0.2,Maurice Greene,USA,1974-07-23,1,Athínai,1997-08-03,8412
100m,male,109,9.86,1.8,Ato Boldon,TTO,1973-12-30,1,Walnut,1998-04-19,8876
100m,male,109,9.86,-0.4,Ato Boldon,TTO,1973-12-30,1,Athínai,1998-06-17,8935
100m,male,109,9.86,0.1,Ato Boldon,TTO,1973-12-30,2r3,Athínai,1999-06-16,9299
100m,male,109,9.86,0.4,Ato Boldon,TTO,1973-12-30,1,Lausanne,1999-07-02,9315
100m,male,109,9.86,-0.2,Maurice Greene,USA,1974-07-23,1r1,Berlin,2000-09-01,9537
100m,male,109,9.86,0.6,Francis Obikwelu,POR,1978-11-22,2,Athínai,2004-08-22,9405
100m,male,109,9.86,0.2,Asafa Powell,JAM,1982-11-23,1rA,Stockholm,2006-07-25,8645
100m,male,109,9.86,-0.5,Asafa Powell,JAM,1982-11-23,1,Berlin,2006-09-03,8685
100m,male,109,9.86,-0.2,Usain Bolt,JAM,1986-08-21,1,Kingston,2009-06-27,8346
100m,male,109,9.86,0.1,Usain Bolt,JAM,1986-08-21,1,Daegu,2010-05-19,8672
100m,male,109,9.86,1,Nesta Carter,JAM,1985-11-10,1r2,Nottwil,2010-08-08,9037
100m,male,109,9.86,2,Asafa Powell,JAM,1982-11-23,1,Budapest,2011-07-30,10476
100m,male,109,9.86,1.4,Keston Bledman,TTO,1988-03-08,1rA,Port of Spain,2012-06-23,8873
100m,male,109,9.86,1.8,Tyson Gay,USA,1982-08-09,2,Eugene,2012-06-24,10912
100m,male,109,9.86,1.1,Usain Bolt,JAM,1986-08-21,2,Kingston,2012-06-29,9444
100m,male,109,9.86,0.3,Usain Bolt,JAM,1986-08-21,1,Bruxelles,2012-09-07,9514
100m,male,109,9.86,0.2,Tyson Gay,USA,1982-08-09,1r1,Kingston,2013-05-04,11226
100m,male,109,9.86,-0.4,Justin Gatlin,USA,1982-02-10,1,Ostrava,2014-06-17,11815
100m,male,109,9.86,1.1,Keston Bledman,TTO,1988-03-08,1rA,Port of Spain,2015-06-27,9972
100m,male,109,9.86,1.3,Jimmy Vicaut,FRA,1992-02-27,2,Saint-Denis,2015-07-04,8528
100m,male,109,9.86,0.9,Mike Rodgers,USA,1985-04-24,2s2,Beijing,2015-08-23,11078
100m,male,109,9.86,1.8,Jimmy Vicaut,FRA,1992-02-27,1,Montreuil,2016-06-07,8867
100m,male,109,9.86,2,Trayvon Bromell,USA,1995-07-10,1s2,Eugene,2016-07-03,7664
100m,male,109,9.86,0.2,Usain Bolt,JAM,1986-08-21,1s2,Rio de Janeiro,2016-08-14,10951
100m,male,109,9.86,0.9,Noah Lyles,USA,1997-07-18,1,Shanghai,2019-05-18,7974
100m,male,109,9.86,0.9,Christian Coleman,USA,1996-03-06,2,Shanghai,2019-05-18,8473
100m,male,109,9.86,0.8,Divine Oduduru,NGR,1996-05-14,1,Austin,2019-06-07,8424
100m,male,139,9.87,0.3,Linford Christie,GBR,1960-04-02,1,Stuttgart,1993-08-15,12188
100m,male,139,9.87,1.9,Frank Fredericks,NAM,1967-10-02,1,Helsinki,1996-06-25,10494
100m,male,139,9.87,1.3,Ato Boldon,TTO,1973-12-30,1q1,Athínai,1997-08-02,8616
100m,male,139,9.87,-0.2,Obadele Thompson,BAR,1976-03-30,1,Johannesburg,1998-09-11,8200
100m,male,139,9.87,0.6,Maurice Greene,USA,1974-07-23,1,Stockholm,1999-07-30,9138
100m,male,139,9.87,-0.3,Maurice Greene,USA,1974-07-23,1,Sydney,2000-09-23,9559
100m,male,139,9.87,0.6,Maurice Greene,USA,1974-07-23,3,Athínai,2004-08-22,10988
100m,male,139,9.87,0.2,Asafa Powell,JAM,1982-11-23,1,Bruxelles,2004-09-03,7955
100m,male,139,9.87,0.7,Asafa Powell,JAM,1982-11-23,1,Gateshead,2008-08-31,9413
100m,male,139,9.87,0.4,Asafa Powell,JAM,1982-11-23,1,Stuttgart,2008-09-13,9426
100m,male,139,9.87,0.4,Justin Gatlin,USA,1982-02-10,1,Ad-Dawhah,2012-05-11,11048
100m,male,139,9.87,1,Usain Bolt,JAM,1986-08-21,1s2,London,2012-08-05,9481
100m,male,139,9.87,1.8,Nesta Carter,JAM,1985-11-10,1rA,Madrid,2013-07-13,10107
100m,male,139,9.87,0,Justin Gatlin,USA,1982-02-10,1,Beijing,2014-05-21,11788
100m,male,139,9.87,1.6,Asafa Powell,JAM,1982-11-23,1,Austin,2014-08-23,11596
100m,male,139,9.87,0,Tyson Gay,USA,1982-08-09,1,Eugene,2015-06-26,12009
100m,male,139,9.87,0,Asafa Powell,JAM,1982-11-23,1rA,Luzern,2015-07-14,11921
100m,male,139,9.87,0,Asafa Powell,JAM,1982-11-23,1r2,Bellinzona,2015-07-21,11928
100m,male,139,9.87,-1.2,Usain Bolt,JAM,1986-08-21,1h2,London,2015-07-24,10564
100m,male,139,9.87,-0.8,Usain Bolt,JAM,1986-08-21,1,London,2015-07-24,10564
100m,male,139,9.87,-0.1,Ronnie Baker,USA,1993-10-15,1rA,Chorzów,2018-08-22,9077
100m,male,139,9.87,-0.1,Justin Gatlin,USA,1982-02-10,2,Palo Alto,2019-06-30,13654
100m,male,161,9.88,1.2,Leroy Burrell,USA,1967-02-21,2,Tokyo,1991-08-25,8951
100m,male,161,9.88,-0.1,Ato Boldon,TTO,1973-12-30,1,Kuala Lumpur,1998-09-17,9027
100m,male,161,9.88,2,Ato Boldon,TTO,1973-12-30,1,Oslo,2001-07-13,10057
100m,male,161,9.88,1.8,Shawn Crawford,USA,1978-01-14,1,Eugene,2004-06-19,9653
100m,male,161,9.88,0.4,Justin Gatlin,USA,1982-02-10,1,Helsinki,2005-08-07,8579
100m,male,161,9.88,2,Tyson Gay,USA,1982-08-09,1r1,Réthymno,2006-07-21,8747
100m,male,161,9.88,1.1,Tyson Gay,USA,1982-08-09,1,Athínai,2006-09-16,8804
100m,male,161,9.88,0.4,Asafa Powell,JAM,1982-11-23,1rA,Stockholm,2008-07-22,9373
100m,male,161,9.88,0.4,Asafa Powell,JAM,1982-11-23,2,Roma,2009-07-10,9726
100m,male,161,9.88,0,Asafa Powell,JAM,1982-11-23,2rA,Zürich,2009-08-28,9775
100m,male,161,9.88,-0.2,Tyson Gay,USA,1982-08-09,1,Thessaloníki,2009-09-12,9896
100m,male,161,9.88,1.2,Asafa Powell,JAM,1982-11-23,1h2,Ostrava,2010-05-27,10047
100m,male,161,9.88,1,Walter Dix,USA,1986-01-31,2r2,Nottwil,2010-08-08,8955
100m,male,161,9.88,0.9,Ryan Bailey,USA,1989-04-13,2,Rieti,2010-08-29,7808
100m,male,161,9.88,1,Michael Frater,JAM,1982-10-06,2rA,Lausanne,2011-06-30,10494
100m,male,161,9.88,1,Usain Bolt,JAM,1986-08-21,1,Monaco,2011-07-22,9101
100m,male,161,9.88,0.4,Asafa Powell,JAM,1982-11-23,2,Ad-Dawhah,2012-05-11,10762
100m,male,161,9.88,1.1,Asafa Powell,JAM,1982-11-23,3,Kingston,2012-06-29,10811
100m,male,161,9.88,1.5,Ryan Bailey,USA,1989-04-13,1h3,London,2012-08-04,8514
100m,male,161,9.88,1.5,Ryan Bailey,USA,1989-04-13,4,London,2012-08-05,8515
100m,male,161,9.88,1.5,Tyson Gay,USA,1982-08-09,1,Eugene,2015-05-30,11982
100m,male,161,9.88,1.4,Mike Rodgers,USA,1985-04-24,1,Madrid,2015-07-11,11035
100m,male,161,9.88,1,Usain Bolt,JAM,1986-08-21,1rA,Kingston,2016-06-11,10887
100m,male,161,9.88,1.9,Jimmy Vicaut,FRA,1992-02-27,1,Angers,2016-06-25,8885
100m,male,161,9.88,1.1,Noah Lyles,USA,1997-07-18,1,Des Moines,2018-06-22,7644
100m,male,161,9.88,0.8,Ronnie Baker,USA,1993-10-15,1rA,Paris,2018-06-30,9024
100m,male,161,9.88,-0.3,Christian Coleman,USA,1996-03-06,1s1,Ad-Dawhah,2019-09-28,8606
100m,male,188,9.89,0.7,Frank Fredericks,NAM,1967-10-02,2,Atlanta,1996-07-27,10526
100m,male,188,9.89,0.8,Ato Boldon,TTO,1973-12-30,1,Modesto,1997-05-10,8532
100m,male,188,9.89,1.5,Bruny Surin,CAN,1967-07-12,1,Montréal,1998-08-01,11343
100m,male,188,9.89,0.9,Maurice Greene,USA,1974-07-23,1rA,Roma,2002-07-12,10216
100m,male,188,9.89,0,Shawn Crawford,USA,1978-01-14,1q2,Athínai,2004-08-21,9716
100m,male,188,9.89,0.6,Shawn Crawford,USA,1978-01-14,4,Athínai,2004-08-22,9717
100m,male,188,9.89,1,Justin Gatlin,USA,1982-02-10,1,London,2005-07-22,8563
100m,male,188,9.89,0.9,Asafa Powell,JAM,1982-11-23,1,Stuttgart,2006-09-09,8691
100m,male,188,9.89,1.6,Travis Padgett,USA,1986-12-13,1q2,Eugene,2008-06-28,7868
100m,male,188,9.89,1.6,Darvis Patton,USA,1977-12-04,1q3,Eugene,2008-06-28,11164
100m,male,188,9.89,0.4,Usain Bolt,JAM,1986-08-21,2rA,Stockholm,2008-07-22,8006
100m,male,188,9.89,0,Richard Thompson,TTO,1985-06-07,2,Beijing,2008-08-16,8471
100m,male,188,9.89,1.1,Asafa Powell,JAM,1982-11-23,1rA,Szczecin,2008-09-17,9430
100m,male,188,9.89,0.2,Usain Bolt,JAM,1986-08-21,1s1,Berlin,2009-08-16,8396
100m,male,188,9.89,2,Darvis Patton,USA,1977-12-04,3,Shanghai,2009-09-20,11613
100m,male,188,9.89,-0.4,Yohan Blake,JAM,1989-12-26,2,London,2010-08-13,7535
100m,male,188,9.89,2,Steve Mullings,JAM,1982-11-29,1,Clermont,2011-05-21,10400
100m,male,188,9.89,1.3,Ngonidzashe Makusha,ZIM,1987-03-11,1,Des Moines,2011-06-10,8857
100m,male,188,9.89,1.3,Nesta Carter,JAM,1985-11-10,2,Bruxelles,2011-09-16,9441
100m,male,188,9.89,0.9,Keston Bledman,TTO,1988-03-08,1h2,Orlando,2012-05-26,8845
100m,male,188,9.89,1.1,Justin Gatlin,USA,1982-02-10,1,Des Moines,2013-06-21,11454
100m,male,188,9.89,1.9,Akani Simbine,RSA,1993-09-21,1,Székesfehérvár,2016-07-18,8336
100m,male,188,9.89,0.2,Justin Gatlin,USA,1982-02-10,2,Rio de Janeiro,2016-08-14,12604
100m,male,188,9.89,1.4,Mike Rodgers,USA,1985-04-24,1h3,Des Moines,2018-06-21,12111
100m,male,188,9.89,0.7,Noah Lyles,USA,1997-07-18,1s2,Des Moines,2018-06-22,7644
100m,male,188,9.89,0.6,Justin Gatlin,USA,1982-02-10,2,Ad-Dawhah,2019-09-28,13744
100m,male,214,9.9,1.9,Leroy Burrell,USA,1967-02-21,1,New York City,1991-06-14,8879
100m,male,214,9.9,0.7,Ato Boldon,TTO,1973-12-30,3,Atlanta,1996-07-27,8245
100m,male,214,9.9,0.2,Maurice Greene,USA,1974-07-23,1,Indianapolis,1997-06-13,8361
100m,male,214,9.9,1,Maurice Greene,USA,1974-07-23,1rA,Lausanne,1997-07-02,8380
100m,male,214,9.9,0,Ato Boldon,TTO,1973-12-30,1,Stuttgart,1997-07-13,8596
100m,male,214,9.9,1.3,Maurice Greene,USA,1974-07-23,2q1,Athínai,1997-08-02,8411
100m,male,214,9.9,0.5,Maurice Greene,USA,1974-07-23,1s2,Athínai,1997-08-03,8412
100m,male,214,9.9,0.2,Frank Fredericks,NAM,1967-10-02,1,Bruxelles,1997-08-22,10917
100m,male,214,9.9,0.3,Maurice Greene,USA,1974-07-23,1,Stockholm,1998-08-05,8779
100m,male,214,9.9,0.3,Maurice Greene,USA,1974-07-23,1h4,Eugene,2001-06-21,9830
100m,male,214,9.9,1.1,Maurice Greene,USA,1974-07-23,1rA,Lausanne,2001-07-04,9843
100m,male,214,9.9,0.5,Asafa Powell,JAM,1982-11-23,1,Roma,2007-07-13,8998
100m,male,214,9.9,1,Asafa Powell,JAM,1982-11-23,1h2,Kingston,2008-06-27,9348
100m,male,214,9.9,-0.4,Asafa Powell,JAM,1982-11-23,1,Bruxelles,2009-09-04,9782
100m,male,214,9.9,-0.2,Asafa Powell,JAM,1982-11-23,2,Thessaloníki,2009-09-12,9790
100m,male,214,9.9,2,Steve Mullings,JAM,1982-11-29,1r1,Starkville,2011-04-16,10365
100m,male,214,9.9,0.6,Asafa Powell,JAM,1982-11-23,1s2,Kingston,2011-06-24,10440
100m,male,214,9.9,1,Nesta Carter,JAM,1985-11-10,2,Monaco,2011-07-22,9385
100m,male,214,9.9,1.8,Asafa Powell,JAM,1982-11-23,1h1,Budapest,2011-07-30,10476
100m,male,214,9.9,1.6,Yohan Blake,JAM,1989-12-26,1r4,Kingston,2012-04-14,8145
100m,male,214,9.9,1.3,Justin Gatlin,USA,1982-02-10,1,Eugene,2012-06-02,11070
100m,male,214,9.9,0.7,Yohan Blake,JAM,1989-12-26,1rA,New York City,2012-06-09,8201
100m,male,214,9.9,1.7,Justin Gatlin,USA,1982-02-10,1h5,Eugene,2012-06-23,11091
100m,male,214,9.9,0.4,Nickel Ashmeade,JAM,1990-04-07,1s2,Moskva,2013-08-11,8527
100m,male,214,9.9,-0.3,Usain Bolt,JAM,1986-08-21,1,Zürich,2013-08-29,9870
100m,male,214,9.9,0.6,Mike Rodgers,USA,1985-04-24,2,Bruxelles,2013-09-06,10362
100m,male,214,9.9,0.7,Asafa Powell,JAM,1982-11-23,1r1,Rieti,2014-09-07,11611
100m,male,214,9.9,1.5,Mike Rodgers,USA,1985-04-24,2,Eugene,2015-05-30,10993
100m,male,214,9.9,1.7,Trayvon Bromell,USA,1995-07-10,1h1,Eugene,2015-06-10,7275
100m,male,214,9.9,-0.8,Mike Rodgers,USA,1985-04-24,2,London,2015-07-24,11048
100m,male,214,9.9,0.9,Yohan Blake,JAM,1989-12-26,1,Kingston,2017-06-23,10041
100m,male,214,9.9,1.1,Ronnie Baker,USA,1993-10-15,2,Des Moines,2018-06-22,9016
100m,male,214,9.9,0.2,Ronnie Baker,USA,1993-10-15,1hB,London,2018-07-21,9045
100m,male,214,9.9,0.1,Ronnie Baker,USA,1993-10-15,1,London,2018-07-21,9045
100m,male,214,9.9,0.6,Andre De Grasse,CAN,1994-11-10,3,Ad-Dawhah,2019-09-28,9088
100m,male,249,9.91,1.9,Linford Christie,GBR,1960-04-02,1,Victoria,1994-08-23,12561
100m,male,249,9.91,1.3,Donovan Bailey,CAN,1967-12-16,1,Montréal,1995-07-15,10073
100m,male,249,9.91,1.5,Dennis Mitchell,USA,1966-02-20,1,Milano,1996-09-07,11157
100m,male,249,9.91,1,Frank Fredericks,NAM,1967-10-02,2rA,Lausanne,1997-07-02,10866
100m,male,249,9.91,0.5,Donovan Bailey,CAN,1967-12-16,2s2,Athínai,1997-08-03,10823
100m,male,249,9.91,0.2,Donovan Bailey,CAN,1967-12-16,2,Athínai,1997-08-03,10823
100m,male,249,9.91,-0.2,Maurice Greene,USA,1974-07-23,1q5,Sevilla,1999-08-21,9160
100m,male,249,9.91,-0.4,Maurice Greene,USA,1974-07-23,1,Osaka,2000-05-13,9426
100m,male,249,9.91,-0.3,Maurice Greene,USA,1974-07-23,1,Athínai,2001-06-11,9820
100m,male,249,9.91,-0.1,Asafa Powell,JAM,1982-11-23,1,Kingston,2004-06-26,7886
100m,male,249,9.91,0,Maurice Greene,USA,1974-07-23,1,Sacramento,2004-07-11,10946
100m,male,249,9.91,-0.3,Asafa Powell,JAM,1982-11-23,1,London,2004-07-30,7920
100m,male,249,9.91,-0.6,Asafa Powell,JAM,1982-11-23,1,London,2006-07-28,8648
100m,male,249,9.91,0.9,Leonard Scott,USA,1980-01-19,2,Stuttgart,2006-09-09,9730
100m,male,249,9.91,-0.5,Derrick Atkins,BAH,1984-01-05,2,Osaka,2007-08-26,8634
100m,male,249,9.91,0.3,Asafa Powell,JAM,1982-11-23,1s2,Beijing,2008-08-16,9398
100m,male,249,9.91,0,Walter Dix,USA,1986-01-31,3,Beijing,2008-08-16,8233
100m,male,249,9.91,-0.2,Daniel Bailey,ANT,1986-09-09,2,Saint-Denis,2009-07-17,8347
100m,male,249,9.91,-1.7,Usain Bolt,JAM,1986-08-21,1,London,2009-07-24,8373
